element_index,index,Building Type,Omiclass,L1,L2,L3,Option,Assembly,Component,Tally material,Weight (kg),Data Source (Material Quantities),Building Material_name,life_cycle_stage,Global Warming Potential_fossil,Global Warming Potential_biogenic,Global Warming Potential_luluc,Stored Biogenic Carbon,Acidification Potential,Eutrophication Potential,Smog Formation Potential,Ozone Depletion Potential,template_model,scenario
Element_17,9,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Exterior finish,"Steel, sheet",11388,"Kaleidoscope Calculator, Payette",Formed steel sheet,A5: Construction,2726.387628,-11.4062208,0,0,10.68966276,0.489721256,156.5127357,3.43E-05,STR1_ENCO10_ENCT1_ENCR1,default
Element_18,10,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Support,Galvanized steel,4039,"Kaleidoscope Calculator, Payette",Galvanized steel support,A5: Construction,1073.808863,-20.27578,0,0,5.692542471,0.246989501,85.58311148,2.37E-05,STR1_ENCO10_ENCT1_ENCR1,default
Element_19,11,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Interior finish,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette",Gypsum wall board,A5: Construction,1447.100735,-3.67728,0,0,2.55509876,0.154678263,63.03234746,7.23E-07,STR1_ENCO10_ENCT1_ENCR1,default
Element_20,12,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Support,"Fasteners, stainless steel",323,"Kaleidoscope Calculator, Payette",Stainless steel fasteners,A5: Construction,97.02984369,-6.13727455,0,0,1.191287849,0.137079034,6.658542121,5.72E-06,STR1_ENCO10_ENCT1_ENCR1,default
Element_21,13,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,AVB,"Self-adhering, polymer-modified asphalt sheet underlayment",6719,"Kaleidoscope Calculator, Payette",AVB membrane,A5: Construction,568.3063297,2.15008,0,0,2.644509111,0.145164386,38.76380562,1.15E-07,STR1_ENCO10_ENCT1_ENCR1,default
Element_22,14,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Wall structure,Fiberglass mat gypsum sheathing board,30261,"Kaleidoscope Calculator, Payette",Sheathing,A5: Construction,2468.479687,-94.41432,0,0,10.33050219,0.935294497,143.404548,8.88E-05,STR1_ENCO10_ENCT1_ENCR1,default
Element_23,15,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Thermal break,"Adhesive, polychloroprene (neoprene)",96,"Kaleidoscope Calculator, Payette",Thermal break,A5: Construction,13.4045291,0.04704,0,0,0.026972778,0.002164212,10.28538064,5.54E-09,STR1_ENCO10_ENCT1_ENCR1,default
Element_24,16,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Interior finish,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette",Acrylic latex paint,A5: Construction,131.8554664,2.545,0,0,0.511387277,0.026910537,10.22564885,4.49E-08,STR1_ENCO10_ENCT1_ENCR1,default
Element_25,0,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT1,Glazing: double pane IGU,Glazing,"Glazing, double, insulated (air)",35343,"Viracon IGU, 1” Clear Insulating Low-E Glass Unit with a  ½” VTS Airspace and Both Lites Fully Tempered  and Heat Soak Tested",Double pane IGU,A5: Construction,564.8171629,-0.282744,0,0,4.23840371,0.18584648,59.72090803,4.56E-07,STR1_ENCO10_ENCT1_ENCR1,default
Element_26,0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Waterproofing system,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829,,EPDM membrane,A5: Construction,5345.443157,-66.27348,0,0,14.85933794,1.506991657,208.0675718,2.57E-07,STR1_ENCO10_ENCT1_ENCR1,default
Element_27,1,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Insulation,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755,,Polyisocyanurate board,A5: Construction,4481.377969,-162.1281,0,0,17.24896776,1.552896567,204.8929845,0.000205189,STR1_ENCO10_ENCT1_ENCR1,default
Element_0,0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",169198,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",C2-C4: End-of-life,6818.6794,0,0,0,15.481617,0.78507872,307.94036,6.16E-10,STR1_ENCO10_ENCT1_ENCR1,default
Element_1,1,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Steel reinforcement,"Steel, reinforcing rod",12633,Calculated from takeoff from Revit,"Steel, reinforcing rod",C2-C4: End-of-life,169.2822,-2.5266,0,0,0.770613,0.03903597,15.28593,3.07E-11,STR1_ENCO10_ENCT1_ENCR1,default
Element_2,2,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",C2-C4: End-of-life,12476.1546,0,0,0,28.326753,1.43646048,563.43924,1.13E-09,STR1_ENCO10_ENCT1_ENCR1,default
Element_3,3,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Steel reinforcement,"Steel, reinforcing rod",23115,Calculated from takeoff from Revit,"Steel, reinforcing rod",C2-C4: End-of-life,309.741,-4.623,0,0,1.410015,0.07142535,27.96915,5.62E-11,STR1_ENCO10_ENCT1_ENCR1,default
Element_4,4,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Concrete slab on grade,"Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",C2-C4: End-of-life,21593.3445,0,0,0,49.0270725,2.4861816,975.1833,1.95E-09,STR1_ENCO10_ENCT1_ENCR1,default
Element_5,5,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh",3601,Calculated from takeoff from Revit,"Steel, welded wire mesh",C2-C4: End-of-life,3.226496,-0.061217,0,0,0.01465607,0.000741806,0.2906007,5.83E-13,STR1_ENCO10_ENCT1_ENCR1,default
Element_6,6,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi, 20% fly ash",2551980,Calculated from takeoff from Revit,"Lightweight concrete, 5000 psi",C2-C4: End-of-life,102844.794,0,0,0,233.50617,11.8411872,4644.6036,9.29E-09,STR1_ENCO10_ENCT1_ENCR1,default
Element_7,7,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel deck,Galvanized steel decking,132267,Calculated from takeoff from Revit,"Steel decking, galvanized",C2-C4: End-of-life,1772.3778,-26.4534,0,0,8.068287,0.40870503,160.04307,3.21E-10,STR1_ENCO10_ENCT1_ENCR1,default
Element_8,8,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel welded wire mesh,"Steel, welded wire mesh",17149,Calculated from takeoff from Revit,"Steel, welded wire mesh",C2-C4: End-of-life,15.365504,-0.291533,0,0,0.06979643,0.003532694,1.3839243,2.78E-12,STR1_ENCO10_ENCT1_ENCR1,default
Element_9,9,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural framing: beams,Steel W Shape,"Hot rolled structural steel, AISC - EPD",217730,Calculated from takeoff from Revit,"Steel, hot rolled structural steel",C2-C4: End-of-life,195.08608,-3.70141,0,0,0.8861611,0.04485238,17.570811,3.53E-11,STR1_ENCO10_ENCT1_ENCR1,default
Element_10,10,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural framing: girders,Steel W Shape,"Hot rolled structural steel, AISC - EPD",89824,Calculated from takeoff from Revit,"Steel, hot rolled structural steel",C2-C4: End-of-life,80.482304,-1.527008,0,0,0.36558368,0.018503744,7.2487968,1.46E-11,STR1_ENCO10_ENCT1_ENCR1,default
Element_11,11,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural columns,Steel W Shape,"Hot rolled structural steel, AISC - EPD",44674,Calculated from takeoff from Revit,"Steel, hot rolled structural steel",C2-C4: End-of-life,40.027904,-0.759458,0,0,0.18182318,0.009202844,3.6051918,7.24E-12,STR1_ENCO10_ENCT1_ENCR1,default
Element_12,12,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural walls,Concrete shear wall,"Structural concrete, 6000 psi, 20% fly ash",874123,Calculated from takeoff from Revit,"Normalweight concrete, 6000 psi",C2-C4: End-of-life,35227.1569,0,0,0,79.9822545,4.05593072,1590.90386,3.18E-09,STR1_ENCO10_ENCT1_ENCR1,default
Element_13,13,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural walls,Steel reinforcement,"Steel, reinforcing rod",65267,Calculated from takeoff from Revit,"Steel, reinforcing rod",C2-C4: End-of-life,874.5778,-13.0534,0,0,3.981287,0.20167503,78.97307,1.59E-10,STR1_ENCO10_ENCT1_ENCR1,default
Element_14,6,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Insulation,"Mineral wool, low density, NAIMA - EPD",8366,"Kaleidoscope Calculator, Payette","3.5"" Mineral wool insulation",C2-C4: End-of-life,374.7968,-6.6928,0,0,1.698298,0.0861698,33.71498,6.77E-11,STR1_ENCO10_ENCT1_ENCR1,default
Element_15,7,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Wall structure,Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette","6"" galvanized steel stud framing",C2-C4: End-of-life,13.4176,-0.254575,0,0,0.06094825,0.00308485,1.2084825,2.43E-12,STR1_ENCO10_ENCT1_ENCR1,default
Element_16,8,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Exterior finish,"Paint, enamel, solvent based",661,"Kaleidoscope Calculator, Payette",Enamel paint,C2-C4: End-of-life,9.7828,0,0,0,0.151369,0.0579036,1.26912,1.76E-12,STR1_ENCO10_ENCT1_ENCR1,default
Element_17,9,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Exterior finish,"Steel, sheet",11388,"Kaleidoscope Calculator, Payette",Formed steel sheet,C2-C4: End-of-life,9.725352,-0.182208,0,0,0.04418544,0.002243436,0.8757372,1.75E-12,STR1_ENCO10_ENCT1_ENCR1,default
Element_18,10,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Support,Galvanized steel,4039,"Kaleidoscope Calculator, Payette",Galvanized steel support,C2-C4: End-of-life,54.1226,-0.8078,0,0,0.246379,0.01248051,4.88719,9.81E-12,STR1_ENCO10_ENCT1_ENCR1,default
Element_19,11,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Interior finish,"Wall board, gypsum, natural",30644,"Kaleidoscope Calculator, Payette",Gypsum wall board,C2-C4: End-of-life,1372.8512,-24.5152,0,0,6.220732,0.3156332,123.49532,2.48E-10,STR1_ENCO10_ENCT1_ENCR1,default
Element_20,12,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Support,"Fasteners, stainless steel",323,"Kaleidoscope Calculator, Payette",Stainless steel fasteners,C2-C4: End-of-life,0.289408,-0.005491,0,0,0.00131461,6.65E-05,0.0260661,5.23E-14,STR1_ENCO10_ENCT1_ENCR1,default
Element_21,13,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,AVB,"Self-adhering, polymer-modified asphalt sheet underlayment",6719,"Kaleidoscope Calculator, Payette",AVB membrane,C2-C4: End-of-life,301.0112,-5.3752,0,0,1.363957,0.0692057,27.07757,5.44E-11,STR1_ENCO10_ENCT1_ENCR1,default
Element_22,14,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Wall structure,Fiberglass mat gypsum sheathing board,30261,"Kaleidoscope Calculator, Payette",Sheathing,C2-C4: End-of-life,1355.6928,-24.2088,0,0,6.142983,0.3116883,121.95183,2.45E-10,STR1_ENCO10_ENCT1_ENCR1,default
Element_23,15,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Thermal break,"Adhesive, polychloroprene (neoprene)",96,"Kaleidoscope Calculator, Payette",Thermal break,C2-C4: End-of-life,1.152,-0.0192,0,0,0.017856,0.0068256,0.14976,2.08E-13,STR1_ENCO10_ENCT1_ENCR1,default
Element_24,16,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Interior finish,"Paint, interior acrylic latex",509,"Kaleidoscope Calculator, Payette",Acrylic latex paint,C2-C4: End-of-life,22.8032,0,0,0,0.103327,0.0052427,2.05127,4.12E-12,STR1_ENCO10_ENCT1_ENCR1,default
Element_25,0,Commercial,21-02 20 20,Shell,Vertical Enclosure,Exterior Windows,ENCT1,Glazing: double pane IGU,Glazing,"Glazing, double, insulated (air)",35343,"Viracon IGU, 1” Clear Insulating Low-E Glass Unit with a  ½” VTS Airspace and Both Lites Fully Tempered  and Heat Soak Tested",Double pane IGU,C2-C4: End-of-life,1583.3664,-28.2744,0,0,7.174629,0.3640329,142.43229,2.86E-10,STR1_ENCO10_ENCT1_ENCR1,default
Element_26,0,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Waterproofing system,"EPDM, non-reinforced membrane, 60 mils, SPRI - EPD",10829,,EPDM membrane,C2-C4: End-of-life,485.1392,-8.6632,0,0,7.526155,2.869685,63.13307,8.76E-11,STR1_ENCO10_ENCT1_ENCR1,default
Element_27,1,Commercial,21-02 30 10,Shell,Horizontal Enclosure,Roofing,ENCR1,EPDM roofing,Insulation,"PIR rigid foam insulation, wall, R=14.6, PIMA - EPD",9755,,Polyisocyanurate board,C2-C4: End-of-life,437.024,-7.804,0,0,6.779725,2.585075,56.87165,7.89E-11,STR1_ENCO10_ENCT1_ENCR1,default
Element_0,0,Commercial,21-04 50 20,Services,Electrical,Electrical Service and Distribution,OP1,Operational energy,Operational energy,,,TM,,B6: Operational Energy,6546607,0,0,0,20301,1281,245352,9.50E-06,STR1_ENCO10_ENCT1_ENCR1,default
Element_0,0,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",169198,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",A1-A3: Product,29031.32176,-459.0309592,0,0,74.01887986,5.3974162,1641.181684,5.21E-09,STR1_ENCO10_ENCT1_ENCR1,default
Element_1,1,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Column foundation,Steel reinforcement,"Steel, reinforcing rod",12633,Calculated from takeoff from Revit,"Steel, reinforcing rod",A1-A3: Product,24129.03,-126.33,0,0,101.56932,3.057186,1203.9249,-0.00010877,STR1_ENCO10_ENCT1_ENCR1,default
Element_2,2,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Concrete footing,"Structural concrete, 4000 psi, 20% fly ash",309582,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",A1-A3: Product,53118.68139,-839.8900839,0,0,135.432528,9.8756658,3002.874196,9.54E-09,STR1_ENCO10_ENCT1_ENCR1,default
Element_3,3,Commercial,21-01 10 10,Substructure,Foundations,Standard Foundations,STR1,Wall foundation,Steel reinforcement,"Steel, reinforcing rod",23115,Calculated from takeoff from Revit,"Steel, reinforcing rod",A1-A3: Product,44149.65,-231.15,0,0,185.8446,5.59383,2202.8595,-0.00019902,STR1_ENCO10_ENCT1_ENCR1,default
Element_4,4,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Concrete slab on grade,"Structural concrete, 4000 psi, 20% fly ash",535815,Calculated from takeoff from Revit,"Normalweight concrete, 4000 psi",A1-A3: Product,91936.17932,-1453.655915,0,0,234.4024522,17.0924985,5197.282263,1.65E-08,STR1_ENCO10_ENCT1_ENCR1,default
Element_5,5,Commercial,21-01 40 10,Substructure,Foundations,Standard Foundations,STR1,Slab on grade,Steel welded wire mesh,"Steel, welded wire mesh",3601,Calculated from takeoff from Revit,"Steel, welded wire mesh",A1-A3: Product,9434.62,-36.01,0,0,28.41189,1.026285,367.302,-4.39E-05,STR1_ENCO10_ENCT1_ENCR1,default
Element_6,6,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Concrete topping,"Lightweight concrete, 5000 psi, 20% fly ash",2551980,Calculated from takeoff from Revit,"Lightweight concrete, 5000 psi",A1-A3: Product,827629.0661,-9995.299234,0,0,3435.595419,140.869296,47033.33592,1.41E-07,STR1_ENCO10_ENCT1_ENCR1,default
Element_7,7,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel deck,Galvanized steel decking,132267,Calculated from takeoff from Revit,"Steel decking, galvanized",A1-A3: Product,341248.86,-6613.35,0,0,1812.0579,77.905263,26453.4,0.007697939,STR1_ENCO10_ENCT1_ENCR1,default
Element_8,8,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Elevated slabs,Steel welded wire mesh,"Steel, welded wire mesh",17149,Calculated from takeoff from Revit,"Steel, welded wire mesh",A1-A3: Product,44930.38,-171.49,0,0,135.30561,4.887465,1749.198,-0.000209218,STR1_ENCO10_ENCT1_ENCR1,default
Element_9,9,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural framing: beams,Steel W Shape,"Hot rolled structural steel, AISC - EPD",217730,Calculated from takeoff from Revit,"Steel, hot rolled structural steel",A1-A3: Product,210762.64,-217.73,0,0,1134.3733,24.16803,5443.25,3.85E-05,STR1_ENCO10_ENCT1_ENCR1,default
Element_10,10,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural framing: girders,Steel W Shape,"Hot rolled structural steel, AISC - EPD",89824,Calculated from takeoff from Revit,"Steel, hot rolled structural steel",A1-A3: Product,86949.632,-89.824,0,0,467.98304,9.970464,2245.6,1.59E-05,STR1_ENCO10_ENCT1_ENCR1,default
Element_11,11,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural columns,Steel W Shape,"Hot rolled structural steel, AISC - EPD",44674,Calculated from takeoff from Revit,"Steel, hot rolled structural steel",A1-A3: Product,43244.432,-44.674,0,0,232.75154,4.958814,1116.85,7.91E-06,STR1_ENCO10_ENCT1_ENCR1,default
Element_12,12,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural walls,Concrete shear wall,"Structural concrete, 6000 psi, 20% fly ash",874123,Calculated from takeoff from Revit,"Normalweight concrete, 6000 psi",A1-A3: Product,186623.0472,-3042.538947,0,0,470.0876152,34.4404462,10327.61727,3.31E-08,STR1_ENCO10_ENCT1_ENCR1,default
Element_13,13,Commercial,21-02 10 10,Shell,Superstructure,Floor Construction,STR1,Structural walls,Steel reinforcement,"Steel, reinforcing rod",65267,Calculated from takeoff from Revit,"Steel, reinforcing rod",A1-A3: Product,124659.97,-652.67,0,0,524.74668,15.794614,6219.9451,-0.000561949,STR1_ENCO10_ENCT1_ENCR1,default
Element_14,6,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Insulation,"Mineral wool, low density, NAIMA - EPD",8366,"Kaleidoscope Calculator, Payette","3.5"" Mineral wool insulation",A1-A3: Product,12632.66,-669.28,0,0,92.8626,2.25882,477.6986,0.000324601,STR1_ENCO10_ENCT1_ENCR1,default
Element_15,7,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Wall structure,Cold formed structural steel,14975,"Kaleidoscope Calculator, Payette","6"" galvanized steel stud framing",A1-A3: Product,36688.75,-299.5,0,0,142.41225,6.454225,1991.675,0.000465723,STR1_ENCO10_ENCT1_ENCR1,default
Element_16,8,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Exterior finish,"Paint, enamel, solvent based",661,"Kaleidoscope Calculator, Payette",Enamel paint,A1-A3: Product,1725.21,19.83,0,0,20.3588,0.279603,1282.34,5.42E-10,STR1_ENCO10_ENCT1_ENCR1,default
Element_17,9,Commercial,21-02 20 10,Shell,Vertical Enclosure,Exterior Walls,ENCO10,Rainscreen: formed steel panel,Exterior finish,"Steel, sheet",11388,"Kaleidoscope Calculator, Payette",Formed steel sheet,A1-A3: Product,26534.04,-113.88,0,0,103.17528,4.680468,1446.276,0.000338224,STR1_ENCO10_ENCT1_ENCR1,default
