Revit model,Revit design option,Revit general category,Revit category,Revit type,Revit family name,Revit material name,Revit building element,Thickness of material (m),Total instance count,Cumulative material volume (m3),Cumulative material area (m2),Cumulative instance volume (m3),Cumulative instance area (m2),Cumulative instance length (m),Cumulative instance perimeter (m),Tally Entry Division,Tally Entry Category,Tally Entry Name,Tally Entry Description,Material Group,Material Name,Life Cycle Stage,Service Life,Acidification Potential Total (kgSO2eq),Eutrophication Potential Total (kgNeq),Global Warming Potential Total (kgCO2eq),Ozone Depletion Potential Total (CFC-11eq),Smog Formation Potential Total (kgO3eq),Primary Energy Demand Total (MJ),Non-renewable Energy Demand Total (MJ),Renewable Energy Demand Total (MJ),Mass Total (kg)
M3.1 Revit Model.rvt,Embodied,Curtainwall Panels,Curtainwall Panels,Panel,System Panel: Glazed,Glass,Enclosure,0,420,23.79873641,936.9581262,0,936.9581262,0,2545.6896,08 - Openings and Glazing,Glass,"Glazing, double pane IGU","Double-pane IGU for window or IGU applications, based on 2 layers of 4 mm thick glass. User to select air- or argon-filled cavity and coatings or surface treatments (if any).",Glazing,"Glazing, double, insulated (air)",[A1-A3] Product,40,214.5446717,9.063008563,26868.21123,1.13E-08,2606.617507,384977.3549,366931.5414,19349.12226,20050.9039
M3.1 Revit Model.rvt,Embodied,Curtainwall Panels,Curtainwall Panels,Panel,System Panel: Glazed,Glass,Enclosure,0,420,23.79873641,936.9581262,0,936.9581262,0,2545.6896,08 - Openings and Glazing,Glass,"Glazing, double pane IGU","Double-pane IGU for window or IGU applications, based on 2 layers of 4 mm thick glass. User to select air- or argon-filled cavity and coatings or surface treatments (if any).",Glazing,"Glazing, double, insulated (air)",[A4] Transportation,40,4.768505966,0.388265703,1029.092592,3.52E-11,157.5680232,14965.19264,14607.08349,361.8787136,
M3.1 Revit Model.rvt,Embodied,Curtainwall Panels,Curtainwall Panels,Panel,System Panel: Glazed,Glass,Enclosure,0,420,23.79873641,936.9581262,0,936.9581262,0,2545.6896,08 - Openings and Glazing,Glass,"Glazing, double pane IGU","Double-pane IGU for window or IGU applications, based on 2 layers of 4 mm thick glass. User to select air- or argon-filled cavity and coatings or surface treatments (if any).",Glazing,"Glazing, double, insulated (air)",[B2-B5] Maintenance and Replacement,40,223.3835112,9.657798577,28779.54359,1.15E-08,2844.990673,415060.9291,395674.5121,20707.5309,20050.9039
M3.1 Revit Model.rvt,Embodied,Curtainwall Panels,Curtainwall Panels,Panel,System Panel: Glazed,Glass,Enclosure,0,420,23.79873641,936.9581262,0,936.9581262,0,2545.6896,08 - Openings and Glazing,Glass,"Glazing, double pane IGU","Double-pane IGU for window or IGU applications, based on 2 layers of 4 mm thick glass. User to select air- or argon-filled cavity and coatings or surface treatments (if any).",Glazing,"Glazing, double, insulated (air)",[C2-C4] End of Life,40,4.070333492,0.20652431,882.2397717,1.62E-10,80.80514272,15118.38154,14135.88725,996.5299239,
M3.1 Revit Model.rvt,Embodied,Curtainwall Panels,Curtainwall Panels,Panel,System Panel: Glazed,Glass,Enclosure,0,420,23.79873641,936.9581262,0,936.9581262,0,2545.6896,08 - Openings and Glazing,Glass,"Glazing, double pane IGU","Double-pane IGU for window or IGU applications, based on 2 layers of 4 mm thick glass. User to select air- or argon-filled cavity and coatings or surface treatments (if any).",Glazing,"Glazing, double, insulated (air)",[D] Module D,40,0,0,0,0,0,0,0,0,
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0.0762,4,0,0,1258.32987,5016.76416,0,585.216,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Lightweight structural concrete (3000 psi) with optional rebar reinforcement as specified by user (none/low/moderate/high) and fly ash and/or slag replacement included in mix as specified by user.,Concrete,"Lightweight concrete, 3000 psi, 20% fly ash",[A1-A3] Product,60,883.4642335,32.55559087,192299.6068,3.28E-08,11348.00182,1513307.876,1399108.576,112615.9111,764812.8918
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0.0762,4,0,0,1258.32987,5016.76416,0,585.216,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Lightweight structural concrete (3000 psi) with optional rebar reinforcement as specified by user (none/low/moderate/high) and fly ash and/or slag replacement included in mix as specified by user.,Concrete,"Lightweight concrete, 3000 psi, 20% fly ash",[A4] Transportation,60,4.643943879,0.378123494,1002.210813,3.43E-11,153.4520586,14574.27447,14225.51979,352.4257805,
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0.0762,4,0,0,1258.32987,5016.76416,0,585.216,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Lightweight structural concrete (3000 psi) with optional rebar reinforcement as specified by user (none/low/moderate/high) and fly ash and/or slag replacement included in mix as specified by user.,Concrete,"Lightweight concrete, 3000 psi, 20% fly ash",[B2-B5] Maintenance and Replacement,60,0,0,0,0,0,0,0,0,0
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0.0762,4,0,0,1258.32987,5016.76416,0,585.216,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Lightweight structural concrete (3000 psi) with optional rebar reinforcement as specified by user (none/low/moderate/high) and fly ash and/or slag replacement included in mix as specified by user.,Concrete,"Lightweight concrete, 3000 psi, 20% fly ash",[C2-C4] End of Life,60,69.9803796,3.548731818,30821.95954,2.78E-09,1391.959463,259271.5703,242445.6867,17131.80878,
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0.0762,4,0,0,1258.32987,5016.76416,0,585.216,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Lightweight structural concrete (3000 psi) with optional rebar reinforcement as specified by user (none/low/moderate/high) and fly ash and/or slag replacement included in mix as specified by user.,Concrete,"Lightweight concrete, 3000 psi, 20% fly ash",[D] Module D,60,5.032468828,0.284510396,664.622403,-1.48E-09,208.0291066,5728.44856,8259.979232,-2562.123188,
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0.0762,4,0,0,1258.32987,5016.76416,0,585.216,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Lightweight structural concrete (3000 psi) with optional rebar reinforcement as specified by user (none/low/moderate/high) and fly ash and/or slag replacement included in mix as specified by user.,Metal,"Steel, reinforcing rod",[A1-A3] Product,60,100.5652645,3.026964429,23765.42321,-0.000107695,1192.023596,298944.0077,288937.5137,10394.24562,12508.11748
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0.0762,4,0,0,1258.32987,5016.76416,0,585.216,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Lightweight structural concrete (3000 psi) with optional rebar reinforcement as specified by user (none/low/moderate/high) and fly ash and/or slag replacement included in mix as specified by user.,Metal,"Steel, reinforcing rod",[A4] Transportation,60,1.363922654,0.111054572,294.3485253,1.01E-11,45.06874857,4280.452914,4178.02394,103.5071737,
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0.0762,4,0,0,1258.32987,5016.76416,0,585.216,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Lightweight structural concrete (3000 psi) with optional rebar reinforcement as specified by user (none/low/moderate/high) and fly ash and/or slag replacement included in mix as specified by user.,Metal,"Steel, reinforcing rod",[B2-B5] Maintenance and Replacement,60,0,0,0,0,0,0,0,0,0
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0.0762,4,0,0,1258.32987,5016.76416,0,585.216,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Lightweight structural concrete (3000 psi) with optional rebar reinforcement as specified by user (none/low/moderate/high) and fly ash and/or slag replacement included in mix as specified by user.,Metal,"Steel, reinforcing rod",[C2-C4] End of Life,60,0.762995166,0.038650083,165.1071507,3.04E-11,15.13482215,2826.83455,2639.212788,186.3709504,
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT,"Concrete, Lightweight",Superstructure,0.0762,4,0,0,1258.32987,5016.76416,0,585.216,03 - Concrete,Cast-in-place Concrete,"Cast-in-place concrete, lightweight structural concrete, 3000 psi",Lightweight structural concrete (3000 psi) with optional rebar reinforcement as specified by user (none/low/moderate/high) and fly ash and/or slag replacement included in mix as specified by user.,Metal,"Steel, reinforcing rod",[D] Module D,60,-12.883361,-0.525340934,-6591.77791,4.67E-05,-183.8693269,-57537.34039,-61790.10033,4240.251825,
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT,Wood - Stained,Superstructure,0.174625,4,0,0,1258.32987,5016.76416,0,585.216,06 - Wood/Plastics/Composites,Engineered Wood,Cross laminated timber (CLT),Cross-laminated timber beams inclusive of adhesive with user-specified finish (if any),Wood,CLT (Cross laminated timber),[A1-A3] Product,60,1588.283076,93.1506561,-618142.6027,0.026614473,21076.94569,7812635.673,2704373.887,5108261.786,429265.6963
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT,Wood - Stained,Superstructure,0.174625,4,0,0,1258.32987,5016.76416,0,585.216,06 - Wood/Plastics/Composites,Engineered Wood,Cross laminated timber (CLT),Cross-laminated timber beams inclusive of adhesive with user-specified finish (if any),Wood,CLT (Cross laminated timber),[A4] Transportation,60,50.82677551,4.138464725,10968.94048,3.76E-10,1679.493451,159511.6986,155694.6681,3857.209841,
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT,Wood - Stained,Superstructure,0.174625,4,0,0,1258.32987,5016.76416,0,585.216,06 - Wood/Plastics/Composites,Engineered Wood,Cross laminated timber (CLT),Cross-laminated timber beams inclusive of adhesive with user-specified finish (if any),Wood,CLT (Cross laminated timber),[B2-B5] Maintenance and Replacement,60,0,0,0,0,0,0,0,0,0
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT,Wood - Stained,Superstructure,0.174625,4,0,0,1258.32987,5016.76416,0,585.216,06 - Wood/Plastics/Composites,Engineered Wood,Cross laminated timber (CLT),Cross-laminated timber beams inclusive of adhesive with user-specified finish (if any),Wood,CLT (Cross laminated timber),[C2-C4] End of Life,60,1914.525006,497.9482077,497948.2077,4.00E-09,6438.985445,272154.4515,255842.355,16183.31675,
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT,Wood - Stained,Superstructure,0.174625,4,0,0,1258.32987,5016.76416,0,585.216,06 - Wood/Plastics/Composites,Engineered Wood,Cross laminated timber (CLT),Cross-laminated timber beams inclusive of adhesive with user-specified finish (if any),Wood,CLT (Cross laminated timber),[D] Module D,60,-287.1787508,-11.93358636,39750.00348,-5.75E-07,-3468.466826,-1961744.232,-1146139.409,-819897.4799,
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0.0254,1,0,0,505.7211821,1254.19104,0,146.304,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet","Single-ply PVC roofing membrane system (white). User to select attachment type (if any). Energy for site welding of membranes is excluded. NOTE: if the user wishes to model a fleece-back membrane, the ply felt entry under Built up asphalt roofing should be applied as an accessory material.",Roofing membrane,"PVC membrane, sheet",[A1-A3] Product,20,14.91407479,0.938616507,7017.060908,4.40E-07,257.2170236,163355.3729,157940.2777,5324.843647,2256.289681
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0.0254,1,0,0,505.7211821,1254.19104,0,146.304,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet","Single-ply PVC roofing membrane system (white). User to select attachment type (if any). Energy for site welding of membranes is excluded. NOTE: if the user wishes to model a fleece-back membrane, the ply felt entry under Built up asphalt roofing should be applied as an accessory material.",Roofing membrane,"PVC membrane, sheet",[A4] Transportation,20,0.741522835,0.060376958,160.0282481,5.48E-12,24.50249367,2327.150715,2271.463229,56.27366967,
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0.0254,1,0,0,505.7211821,1254.19104,0,146.304,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet","Single-ply PVC roofing membrane system (white). User to select attachment type (if any). Energy for site welding of membranes is excluded. NOTE: if the user wishes to model a fleece-back membrane, the ply felt entry under Built up asphalt roofing should be applied as an accessory material.",Roofing membrane,"PVC membrane, sheet",[B2-B5] Maintenance and Replacement,20,34.44743791,3.193820462,14552.7318,8.80E-07,589.7473723,334767.5321,323604.8502,10986.50983,4512.579362
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0.0254,1,0,0,505.7211821,1254.19104,0,146.304,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet","Single-ply PVC roofing membrane system (white). User to select attachment type (if any). Energy for site welding of membranes is excluded. NOTE: if the user wishes to model a fleece-back membrane, the ply felt entry under Built up asphalt roofing should be applied as an accessory material.",Roofing membrane,"PVC membrane, sheet",[C2-C4] End of Life,20,1.568121328,0.597916765,99.27674596,1.83E-11,13.15416884,1701.242419,1590.684225,112.1375971,
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0.0254,1,0,0,505.7211821,1254.19104,0,146.304,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet","Single-ply PVC roofing membrane system (white). User to select attachment type (if any). Energy for site welding of membranes is excluded. NOTE: if the user wishes to model a fleece-back membrane, the ply felt entry under Built up asphalt roofing should be applied as an accessory material.",Roofing membrane,"PVC membrane, sheet",[D] Module D,20,0,0,0,0,0,0,0,0,
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0.0254,1,0,0,505.7211821,1254.19104,0,146.304,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet","Single-ply PVC roofing membrane system (white). User to select attachment type (if any). Energy for site welding of membranes is excluded. NOTE: if the user wishes to model a fleece-back membrane, the ply felt entry under Built up asphalt roofing should be applied as an accessory material.",Adhesive / Sealant,"Adhesive, polychloroprene (neoprene)",[A1-A3] Product,20,0.546215973,0.039557794,318.4218675,1.79E-10,258.4115924,9613.890998,9270.975141,347.8146552,122.469949
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0.0254,1,0,0,505.7211821,1254.19104,0,146.304,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet","Single-ply PVC roofing membrane system (white). User to select attachment type (if any). Energy for site welding of membranes is excluded. NOTE: if the user wishes to model a fleece-back membrane, the ply felt entry under Built up asphalt roofing should be applied as an accessory material.",Adhesive / Sealant,"Adhesive, polychloroprene (neoprene)",[A4] Transportation,20,0.026027314,0.00211922,5.616961742,1.92E-13,0.86003297,81.6825572,79.72793681,1.975195338,
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0.0254,1,0,0,505.7211821,1254.19104,0,146.304,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet","Single-ply PVC roofing membrane system (white). User to select attachment type (if any). Energy for site welding of membranes is excluded. NOTE: if the user wishes to model a fleece-back membrane, the ply felt entry under Built up asphalt roofing should be applied as an accessory material.",Adhesive / Sealant,"Adhesive, polychloroprene (neoprene)",[B2-B5] Maintenance and Replacement,20,1.190045393,0.100769254,650.9679492,3.59E-10,518.925357,19440.62497,18747.6998,702.8374018,244.939898
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0.0254,1,0,0,505.7211821,1254.19104,0,146.304,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet","Single-ply PVC roofing membrane system (white). User to select attachment type (if any). Energy for site welding of membranes is excluded. NOTE: if the user wishes to model a fleece-back membrane, the ply felt entry under Built up asphalt roofing should be applied as an accessory material.",Adhesive / Sealant,"Adhesive, polychloroprene (neoprene)",[C2-C4] End of Life,20,0.022779411,0.008707613,1.445145398,2.66E-13,0.19105312,24.7389297,23.14682036,1.628850322,
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT Roof,Roof Membrane,Superstructure,0.0254,1,0,0,505.7211821,1254.19104,0,146.304,07 - Thermal and Moisture Protection,Roofing Membranes,"PVC roofing membrane, sheet","Single-ply PVC roofing membrane system (white). User to select attachment type (if any). Energy for site welding of membranes is excluded. NOTE: if the user wishes to model a fleece-back membrane, the ply felt entry under Built up asphalt roofing should be applied as an accessory material.",Adhesive / Sealant,"Adhesive, polychloroprene (neoprene)",[D] Module D,20,0,0,0,0,0,0,0,0,
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT Roof,Insulation - Roof,Superstructure,0.127,1,0,0,505.7211821,1254.19104,0,146.304,07 - Thermal and Moisture Protection,Insulation,"Polyisocyanurate (PIR), board","Generic high-density polyisocyanurate (PIR) foam insulation board. Entry is inclusive of material manufacturing, glass fiber or foil-facing, and foaming/blowing agents.",Insulation,"PIR rigid foam insulation, roof, R=15, PIMA - EPD",[A1-A3] Product,60,56.20558777,3.596669933,15483.96887,0.000615701,682.7576822,337111.6056,330405.9498,7132.379359,6096.050734
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT Roof,Insulation - Roof,Superstructure,0.127,1,0,0,505.7211821,1254.19104,0,146.304,07 - Thermal and Moisture Protection,Insulation,"Polyisocyanurate (PIR), board","Generic high-density polyisocyanurate (PIR) foam insulation board. Entry is inclusive of material manufacturing, glass fiber or foil-facing, and foaming/blowing agents.",Insulation,"PIR rigid foam insulation, roof, R=15, PIMA - EPD",[A4] Transportation,60,0.385575209,0.031394661,83.21109252,2.85E-12,12.74074603,1210.066071,1181.10983,29.26104352,
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT Roof,Insulation - Roof,Superstructure,0.127,1,0,0,505.7211821,1254.19104,0,146.304,07 - Thermal and Moisture Protection,Insulation,"Polyisocyanurate (PIR), board","Generic high-density polyisocyanurate (PIR) foam insulation board. Entry is inclusive of material manufacturing, glass fiber or foil-facing, and foaming/blowing agents.",Insulation,"PIR rigid foam insulation, roof, R=15, PIMA - EPD",[B2-B5] Maintenance and Replacement,60,0,0,0,0,0,0,0,0,0
M3.1 Revit Model.rvt,Embodied,Floors,Floors,Floor,CLT Roof,Insulation - Roof,Superstructure,0.127,1,0,0,505.7211821,1254.19104,0,146.304,07 - Thermal and Moisture Protection,Insulation,"Polyisocyanurate (PIR), board","Generic high-density polyisocyanurate (PIR) foam insulation board. Entry is inclusive of material manufacturing, glass fiber or foil-facing, and foaming/blowing agents.",Insulation,"PIR rigid foam insulation, roof, R=15, PIMA - EPD",[C2-C4] End of Life,60,4.23675526,1.615453445,268.2262323,4.93E-11,35.53997578,4596.422254,4297.715768,302.9737215,
